instance,solver,cost_type,timeout,build_time,solve_time,cpo_obj,verified_cost,status,valid
InstanceA1,cp,finsteps123,120,.038571756,120.084396382,,11,,True
InstanceA10,cp,finsteps123,120,.031274743,.102205654,,17,,True
InstanceA11,cp,finsteps123,120,.019552015,120.043981132,,23,,True
InstanceA12,cp,finsteps123,120,.017550746,120.059946477,,24,,True
InstanceA2,cp,finsteps123,120,.019242370,.093861178,,25,,True
InstanceA3,cp,finsteps123,120,.017138524,.082963305,,10,,True
InstanceA4,cp,finsteps123,120,.015960855,120.052860200,,17,,True
InstanceA5,cp,finsteps123,120,.016118912,120.057342030,,15,,True
InstanceA6,cp,finsteps123,120,.021387422,.035761582,,10,,True
InstanceA7,cp,finsteps123,120,.016840039,.030755066,,10,,True
InstanceA8,cp,finsteps123,120,.015738627,120.043057851,,31,,True
InstanceA9,cp,finsteps123,120,.017160775,.041226356,,18,,True
InstanceB1,cp,finsteps123,120,.021207121,.039670232,,4,,True
InstanceB10,cp,finsteps123,120,.019803795,.032132414,,10,,True
InstanceB11,cp,finsteps123,120,.019286436,.118059517,,23,,True
InstanceB12,cp,finsteps123,120,.015565530,.034172072,,6,,True
InstanceB2,cp,finsteps123,120,.018883193,.029702535,,5,,True
InstanceB3,cp,finsteps123,120,.020780183,.053389292,,5,,True
InstanceB4,cp,finsteps123,120,.020307491,.048939570,,16,,True
InstanceB5,cp,finsteps123,120,.019870191,.034730071,,2,,True
InstanceB6,cp,finsteps123,120,.017448608,.031606439,,2,,True
InstanceB7,cp,finsteps123,120,.016372857,120.048999493,,25,,True
InstanceB8,cp,finsteps123,120,.032973432,.030231682,,6,,True
InstanceB9,cp,finsteps123,120,.017850809,.035032427,,7,,True
