instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,finsteps123,120,.043970231,1.395621792,37,,integer,True
InstanceA10,bigm,finsteps123,120,.024994874,.124934230,21,,integer,True
InstanceA11,bigm,finsteps123,120,.043737738,1.326692426,41,,integer,True
InstanceA12,bigm,finsteps123,120,.046682309,1.563306850,44,,integer,True
InstanceA2,bigm,finsteps123,120,.032146370,.532716294,40,,integer,True
InstanceA3,bigm,finsteps123,120,.025947991,.137215967,19,,integer,True
InstanceA4,bigm,finsteps123,120,.023695198,.090072566,17,,integer,True
InstanceA5,bigm,finsteps123,120,.020077662,.066989626,16,,integer,True
InstanceA6,bigm,finsteps123,120,.019300512,.036157237,10,,integer,True
InstanceA7,bigm,finsteps123,120,.015836320,.029845049,12,,integer,True
InstanceA8,bigm,finsteps123,120,.038688997,2.582642651,43,,integer,True
InstanceA9,bigm,finsteps123,120,.028460444,.281412008,27,,integer,True
InstanceB1,bigm,finsteps123,120,.022756484,.151857470,19,,integer,True
InstanceB10,bigm,finsteps123,120,.016842583,.029042160,11,,integer,True
InstanceB11,bigm,finsteps123,120,.026638608,.217022841,44,,integer,True
InstanceB12,bigm,finsteps123,120,.020882664,.124559991,19,,integer,True
InstanceB2,bigm,finsteps123,120,.016918581,.027642067,7,,integer,True
InstanceB3,bigm,finsteps123,120,.017683645,.027215110,5,,integer,True
InstanceB4,bigm,finsteps123,120,.025562594,.134486119,31,,integer,True
InstanceB5,bigm,finsteps123,120,.016889043,.029372513,6,,integer,True
InstanceB6,bigm,finsteps123,120,.016545423,.026686117,5,,integer,True
InstanceB7,bigm,finsteps123,120,.028086914,.333525070,40,,integer,True
InstanceB8,bigm,finsteps123,120,.018047561,.027353723,10,,integer,True
InstanceB9,bigm,finsteps123,120,.015027581,.028785967,11,,integer,True
